43,43,372,43,372,109,43,109,PO Nestle Box: Middle 17327 EASTIFZE Dubai
1986,80,2184,72,2186,126,1988,134,Nestle
47,102,252,102,252,131,47,131,Utd.Arab Emir
51,127,442,127,442,157,51,157,Tel:4 88380001Faxi4 8839000
588,127,723,127,723,157,588,157,INVOICE
862,127,1063,127,1063,157,862,157,4553973018 P
47,153,482,153,482,182,47,182,VAT Number: 400607714100003
277,201,405,201,405,226,277,226,Date
1801,201,1940,201,1940,226,1801,226,15.07.2020
47,201,113,201,113,226,47,226,Ship To:
1012,201,1114,201,1114,226,1012,226,Nestle Saudi Arabia L.L C.
1129,201,1403,201,1403,226,1129,226,Billing No:
1640,197,1761,197,1761,230,1640,230,1175002755
47,230,259,230,259,255,47,255,Customer Indent no
274,230,416,230,416,255,274,255,4553973018
1012,230,1169,230,1169,259,1012,259,South Jeddah
47,259,222,259,222,285,47,285,Payment Termsi
277,259,588,259,588,285,277,285,Due within 30 days ofinv date
1012,266,1436,266,1436,292,1012,292,Jeddah, Al Khumra Wh AreaSaudi Arabia
1640,285,1874,285,1874,310,1640,310,Bank Information
47,285,233,285,233,310,47,310,Account No.: 100201062
277,285,537,285,537,314,277,314,STPO1 4553972922
1107,296,1450,296,1450,325,1107,325,VAT Number: 300320673 00003
277,314,416,314,416,339,277,339,LDP6230724
1640,310,1790,310,1790,339,1640,339,Citibank N.A
274,343,570,343,570,369,274,369,Khalid Bin Al Waleed Street
277,372,508,372,508,398,277,398,Dubar; Utd Arab Emir.
277,398,482,398,482,423,277,423,SWIF CITIAEAD
164,427,274,427,274,453,164,453,HS Code
771,427,858,427,858,456,771,456,Categoryl
990,427,1162,427,1162,456,990,456,Net Kg
1538,427,1600,427,1600,453,1538,453,Gross Kg
1977,427,2189,427,2189,453,1977,453,Measure(c Qty
76,431,138,431,138,453,76,453,UNIT
365,427,482,427,482,456,365,456,Unit
880,427,990,427,990,456,880,456,Excise
1191,427,1257,427,1257,453,1191,453,Disc
1268,427,1326,427,1326,453,1268,453,Net Unit
1418,427,1498,427,1498,453,1418,453,Total
1633,427,1732,427,1732,453,1633,453,VAT to
1776,427,1841,427,1841,453,1776,453,VAT Amount Gross
1874,427,1962,427,1962,453,1874,453,Item
73,456,142,456,142,482,73,482,Country of Origin
168,453,350,453,350,486,168,486,Weight
771,456,862,456,862,482,771,482,Price
891,453,979,453,979,482,891,482,GPR
1268,453,1337,453,1337,478,1268,478,Price
1432,456,1487,456,1487,478,1432,478,USD
1534,453,1600,453,1600,478,1534,478,USD
1648,453,1717,453,1717,478,1648,478,Code
1776,453,1838,453,1838,478,1776,478,Product Description
1977,453,2039,453,2039,478,1977,478,Weight
369,456,577,456,577,482,369,482,Tax
2116,460,2207,460,2207,478,2116,478,Amount
47,504,190,504,190,533,47,533,INCOTERM:
244,508,646,508,646,537,244,537,CIF(Costs insurance freight Jeddah
47,537,201,537,201,562,47,562,INSURANCE:
244,537,581,537,581,562,244,562,INSURANCE COVERED by US
47,570,237,570,237,599,47,599,Manufactured by:
244,570,391,570,391,599,244,599,CPW Poland
47,603,332,603,332,632,47,632,Origin Exclusively: Poland
54,690,628,690,628,723,54,723,Gross weight with Pallets weight 7247 .59 Kgs
1549,1410,1929,1410,1929,1439,1549,1439,Bill To
47,1410,127,1410,127,1436,47,1436,NESTLE MIDDLE EAST FZE
47,1436,321,1436,321,1461,47,1461,Nestle Saudi Arabia L.L.C
47,1461,270,1461,270,1487,47,1487,Jeddah Saudi Arabia
2032,1589,2167,1589,2167,1626,2032,1626,Page 2 of2
